id,role,type,description,size/ratio,style line ref,source
m_trex,unkillable T-Rex patroller mesh,3d_model,"massive T-Rex dinosaur standing in neutral pose, weathered slate-green hide, glowing amber eyes",~8000 tris,STYLE FORMULA,generate
m_werewolf,night enemy mesh,3d_model,"hulking werewolf standing on two legs, dark grey shaggy fur, glowing amber eyes",~8000 tris,STYLE FORMULA,generate
m_pig,huntable pig mesh,3d_model,"plump wild pig with brown-pink hide and small tusks",~3000 tris,STYLE FORMULA,generate
m_chicken,huntable chicken mesh,3d_model,"small plump chicken with white and brown feathers",~3000 tris,STYLE FORMULA,generate
m_tree,instanced forest canopy tree,3d_model,"tall jungle tree with broad trunk and dense leafy canopy",~3000 tris lowpoly,STYLE FORMULA,generate
m_appletree,apple tree landmark,3d_model,"round bushy apple tree dotted with red apples",~3000 tris lowpoly,STYLE FORMULA,generate
m_chest,lootable wooden chest,3d_model,"weathered wooden treasure chest with iron bands",~3000 tris lowpoly,STYLE FORMULA,generate
t_grass,open field ground tile,texture_tile,"wild grass meadow seen flat from above",1024 1:1,STYLE FORMULA,generate
t_forestfloor,forest ground tile,texture_tile,"forest floor of leaf litter moss and roots",1024 1:1,STYLE FORMULA,generate
t_dirtpath,forest path ground tile,texture_tile,"packed dirt trail with pebbles",1024 1:1,STYLE FORMULA,generate
t_brick,old building walls,texture_tile,"old weathered brick wall with cracked mortar",1024 1:1,STYLE FORMULA,generate
t_intfloor,building interior floor,texture_tile,"worn concrete floor with dust and stains",1024 1:1,STYLE FORMULA,generate
t_woodplank,tree hut walls and floor,texture_tile,"rough weathered wooden planks",1024 1:1,STYLE FORMULA,generate
ui_icons,inventory and hotbar icon sheet,ui_sheet,"4x4 grid of 13 game item icons: bandage; energy drink can; red apple; raw pork; cooked pork; raw chicken; cooked chicken; egg; cooked eggs on plate; raw wolf meat; cooked wolf meat; wolf fur pelt; survival knife",1024 1:1,STYLE FORMULA,generate
p_hud,"HUD bars, hotbar frame, prompts",procedural_2d,"health/energy/hunger bars and hotbar drawn in code with FORMULA-derived palette",-,STYLE FORMULA,procedural
p_sky,day/night sky fog and lighting,procedural_3d,"sky gradient, sun/moon, fog and light colors derived from FORMULA blocks 3-4",-,STYLE FORMULA,procedural
p_building,old building and tree hut geometry,procedural_3d,"box-built architecture textured with t_brick/t_intfloor/t_woodplank",-,STYLE FORMULA,procedural
p_knife,first-person knife viewmodel,procedural_3d,"low-poly knife held in view, FORMULA-derived palette",-,STYLE FORMULA,procedural
a_ambient,exploration ambient music loop,audio_music,"dark sparse survival ambient loop, low drones and distant birds",40s looped,-,generate
a_chase,chase music loop,audio_music,"pounding percussion danger chase loop",30s looped,-,generate
